[WARNING] install tensorboardX to record simulation logs.
[WARNING] install tensorboardX to record simulation logs.
[WARNING] install tensorboardX to record simulation logs.
[WARNING] install tensorboardX to record simulation logs.
[WARNING] install tensorboardX to record simulation logs.
Conv4
Conv4S
Conv6
Namespace(seed=1, dataset='CUB', model='ResNet10', method='maml', train_n_way=5, test_n_way=5, n_shot=1, train_aug=True, steps=2, tau=1.0, loss='ELBO', mean=0.0, kernel='bncossim', batch_size=1, diff_net=None, num_classes=200, save_freq=50, start_epoch=0, stop_epoch=-1, resume=False, warmup=False)
[INFO] Setting SEED: 1
n_query : 16
Inner lr : 0.01
Tot epochs: 2400
Meta-lr : 0.001
Epoch 0 | Batch 0/100 | Loss 1.610167
Epoch 0 | Batch 10/100 | Loss 1.666332
Epoch 0 | Batch 20/100 | Loss 1.670536
Epoch 0 | Batch 30/100 | Loss 1.677021
Epoch 0 | Batch 40/100 | Loss 1.692312
Epoch 0 | Batch 50/100 | Loss 1.703223
Epoch 0 | Batch 60/100 | Loss 1.705360
Epoch 0 | Batch 70/100 | Loss 1.710138
Epoch 0 | Batch 80/100 | Loss 1.702126
Epoch 0 | Batch 90/100 | Loss 1.702432
One iteration : 5.71603536605835s
100 Test Acc = 25.94% +- 1.25%
--> Best model! save...
Epoch 1 | Batch 0/100 | Loss 1.576725
Epoch 1 | Batch 10/100 | Loss 1.634910
Epoch 1 | Batch 20/100 | Loss 1.650115
Epoch 1 | Batch 30/100 | Loss 1.648697
Epoch 1 | Batch 40/100 | Loss 1.644065
Epoch 1 | Batch 50/100 | Loss 1.642610
Epoch 1 | Batch 60/100 | Loss 1.643810
Epoch 1 | Batch 70/100 | Loss 1.638499
Epoch 1 | Batch 80/100 | Loss 1.634293
Epoch 1 | Batch 90/100 | Loss 1.636445
Epoch 2 | Batch 0/100 | Loss 1.633073
Epoch 2 | Batch 10/100 | Loss 1.579054
Epoch 2 | Batch 20/100 | Loss 1.598171
Epoch 2 | Batch 30/100 | Loss 1.612083
Epoch 2 | Batch 40/100 | Loss 1.615384
Epoch 2 | Batch 50/100 | Loss 1.615063
Epoch 2 | Batch 60/100 | Loss 1.619732
Epoch 2 | Batch 70/100 | Loss 1.612380
Epoch 2 | Batch 80/100 | Loss 1.614203
Epoch 2 | Batch 90/100 | Loss 1.615388
Epoch 3 | Batch 0/100 | Loss 1.549215
Epoch 3 | Batch 10/100 | Loss 1.562277
Epoch 3 | Batch 20/100 | Loss 1.603805
Epoch 3 | Batch 30/100 | Loss 1.605408
Epoch 3 | Batch 40/100 | Loss 1.605250
Epoch 3 | Batch 50/100 | Loss 1.604286
Epoch 3 | Batch 60/100 | Loss 1.597794
Epoch 3 | Batch 70/100 | Loss 1.593160
Epoch 3 | Batch 80/100 | Loss 1.592208
Epoch 3 | Batch 90/100 | Loss 1.592255
Epoch 4 | Batch 0/100 | Loss 1.568526
Epoch 4 | Batch 10/100 | Loss 1.583100
Epoch 4 | Batch 20/100 | Loss 1.590462
Epoch 4 | Batch 30/100 | Loss 1.592384
Epoch 4 | Batch 40/100 | Loss 1.594383
Epoch 4 | Batch 50/100 | Loss 1.595982
Epoch 4 | Batch 60/100 | Loss 1.594677
Epoch 4 | Batch 70/100 | Loss 1.599461
Epoch 4 | Batch 80/100 | Loss 1.601048
Epoch 4 | Batch 90/100 | Loss 1.598273
Epoch 5 | Batch 0/100 | Loss 1.694150
Epoch 5 | Batch 10/100 | Loss 1.594926
Epoch 5 | Batch 20/100 | Loss 1.594697
Epoch 5 | Batch 30/100 | Loss 1.587706
Epoch 5 | Batch 40/100 | Loss 1.584992
Epoch 5 | Batch 50/100 | Loss 1.586610
Epoch 5 | Batch 60/100 | Loss 1.583894
Epoch 5 | Batch 70/100 | Loss 1.585544
Epoch 5 | Batch 80/100 | Loss 1.583518
Epoch 5 | Batch 90/100 | Loss 1.585033
One iteration : 5.818448543548584s
100 Test Acc = 26.99% +- 1.35%
--> Best model! save...
Epoch 6 | Batch 0/100 | Loss 1.674073
Epoch 6 | Batch 10/100 | Loss 1.617337
Epoch 6 | Batch 20/100 | Loss 1.590510
Epoch 6 | Batch 30/100 | Loss 1.586249
Epoch 6 | Batch 40/100 | Loss 1.590960
Epoch 6 | Batch 50/100 | Loss 1.592313
Epoch 6 | Batch 60/100 | Loss 1.593846
Epoch 6 | Batch 70/100 | Loss 1.591330
Epoch 6 | Batch 80/100 | Loss 1.590234
Epoch 6 | Batch 90/100 | Loss 1.593593
Epoch 7 | Batch 0/100 | Loss 1.633682
Epoch 7 | Batch 10/100 | Loss 1.587500
Epoch 7 | Batch 20/100 | Loss 1.594772
Epoch 7 | Batch 30/100 | Loss 1.586466
Epoch 7 | Batch 40/100 | Loss 1.581060
Epoch 7 | Batch 50/100 | Loss 1.584882
Epoch 7 | Batch 60/100 | Loss 1.586150
Epoch 7 | Batch 70/100 | Loss 1.590424
Epoch 7 | Batch 80/100 | Loss 1.586219
Epoch 7 | Batch 90/100 | Loss 1.586522
Epoch 8 | Batch 0/100 | Loss 1.563555
Epoch 8 | Batch 10/100 | Loss 1.590739
Epoch 8 | Batch 20/100 | Loss 1.581530
Epoch 8 | Batch 30/100 | Loss 1.578891
Epoch 8 | Batch 40/100 | Loss 1.582597
Epoch 8 | Batch 50/100 | Loss 1.577971
Epoch 8 | Batch 60/100 | Loss 1.582768
Epoch 8 | Batch 70/100 | Loss 1.588298
Epoch 8 | Batch 80/100 | Loss 1.585133
Epoch 8 | Batch 90/100 | Loss 1.588477
Epoch 9 | Batch 0/100 | Loss 1.658173
Epoch 9 | Batch 10/100 | Loss 1.570748
Epoch 9 | Batch 20/100 | Loss 1.555452
Epoch 9 | Batch 30/100 | Loss 1.558459
Epoch 9 | Batch 40/100 | Loss 1.565436
Epoch 9 | Batch 50/100 | Loss 1.561774
Epoch 9 | Batch 60/100 | Loss 1.555259
Epoch 9 | Batch 70/100 | Loss 1.568925
Epoch 9 | Batch 80/100 | Loss 1.565934
Epoch 9 | Batch 90/100 | Loss 1.564970
Epoch 10 | Batch 0/100 | Loss 1.392632
Epoch 10 | Batch 10/100 | Loss 1.564521
Epoch 10 | Batch 20/100 | Loss 1.576454
Epoch 10 | Batch 30/100 | Loss 1.567922
Epoch 10 | Batch 40/100 | Loss 1.566950
Epoch 10 | Batch 50/100 | Loss 1.569149
Epoch 10 | Batch 60/100 | Loss 1.566801
Epoch 10 | Batch 70/100 | Loss 1.557136
Epoch 10 | Batch 80/100 | Loss 1.554170
Epoch 10 | Batch 90/100 | Loss 1.555350
One iteration : 5.554136753082275s
100 Test Acc = 29.45% +- 1.70%
--> Best model! save...
Epoch 11 | Batch 0/100 | Loss 1.712709
Epoch 11 | Batch 10/100 | Loss 1.571621
Epoch 11 | Batch 20/100 | Loss 1.584021
Epoch 11 | Batch 30/100 | Loss 1.566075
Epoch 11 | Batch 40/100 | Loss 1.576267
Epoch 11 | Batch 50/100 | Loss 1.573096
Epoch 11 | Batch 60/100 | Loss 1.571589
Epoch 11 | Batch 70/100 | Loss 1.566892
Epoch 11 | Batch 80/100 | Loss 1.561157
Epoch 11 | Batch 90/100 | Loss 1.559336
Epoch 12 | Batch 0/100 | Loss 1.590367
Epoch 12 | Batch 10/100 | Loss 1.567794
Epoch 12 | Batch 20/100 | Loss 1.578109
Epoch 12 | Batch 30/100 | Loss 1.573949
Epoch 12 | Batch 40/100 | Loss 1.579901
Epoch 12 | Batch 50/100 | Loss 1.574418
Epoch 12 | Batch 60/100 | Loss 1.574189
Epoch 12 | Batch 70/100 | Loss 1.576036
Epoch 12 | Batch 80/100 | Loss 1.572348
Epoch 12 | Batch 90/100 | Loss 1.570550
Epoch 13 | Batch 0/100 | Loss 1.456238
Epoch 13 | Batch 10/100 | Loss 1.582202
Epoch 13 | Batch 20/100 | Loss 1.552096
Epoch 13 | Batch 30/100 | Loss 1.558619
Epoch 13 | Batch 40/100 | Loss 1.567362
Epoch 13 | Batch 50/100 | Loss 1.556874
Epoch 13 | Batch 60/100 | Loss 1.556987
Epoch 13 | Batch 70/100 | Loss 1.555339
Epoch 13 | Batch 80/100 | Loss 1.555032
Epoch 13 | Batch 90/100 | Loss 1.556826
Epoch 14 | Batch 0/100 | Loss 1.567590
Epoch 14 | Batch 10/100 | Loss 1.566148
Epoch 14 | Batch 20/100 | Loss 1.566198
Epoch 14 | Batch 30/100 | Loss 1.570185
Epoch 14 | Batch 40/100 | Loss 1.569261
Epoch 14 | Batch 50/100 | Loss 1.568186
Epoch 14 | Batch 60/100 | Loss 1.561250
Epoch 14 | Batch 70/100 | Loss 1.563201
Epoch 14 | Batch 80/100 | Loss 1.564625
Epoch 14 | Batch 90/100 | Loss 1.566589
Epoch 15 | Batch 0/100 | Loss 1.365842
Epoch 15 | Batch 10/100 | Loss 1.553809
Epoch 15 | Batch 20/100 | Loss 1.546895
Epoch 15 | Batch 30/100 | Loss 1.551186
Epoch 15 | Batch 40/100 | Loss 1.551899
Epoch 15 | Batch 50/100 | Loss 1.552529
Epoch 15 | Batch 60/100 | Loss 1.553537
Epoch 15 | Batch 70/100 | Loss 1.556550
Epoch 15 | Batch 80/100 | Loss 1.559654
Epoch 15 | Batch 90/100 | Loss 1.560702
One iteration : 5.4190354347229s
100 Test Acc = 31.56% +- 1.55%
--> Best model! save...
Epoch 16 | Batch 0/100 | Loss 1.578985
Epoch 16 | Batch 10/100 | Loss 1.598584
Epoch 16 | Batch 20/100 | Loss 1.562066
Epoch 16 | Batch 30/100 | Loss 1.556440
Epoch 16 | Batch 40/100 | Loss 1.569062
Epoch 16 | Batch 50/100 | Loss 1.558706
Epoch 16 | Batch 60/100 | Loss 1.559229
Epoch 16 | Batch 70/100 | Loss 1.559691
Epoch 16 | Batch 80/100 | Loss 1.563583
Epoch 16 | Batch 90/100 | Loss 1.563073
Epoch 17 | Batch 0/100 | Loss 1.539195
Epoch 17 | Batch 10/100 | Loss 1.544690
Epoch 17 | Batch 20/100 | Loss 1.538924
Epoch 17 | Batch 30/100 | Loss 1.525707
Epoch 17 | Batch 40/100 | Loss 1.542674
Epoch 17 | Batch 50/100 | Loss 1.541176
Epoch 17 | Batch 60/100 | Loss 1.544615
Epoch 17 | Batch 70/100 | Loss 1.542858
Epoch 17 | Batch 80/100 | Loss 1.541448
Epoch 17 | Batch 90/100 | Loss 1.539703
Epoch 18 | Batch 0/100 | Loss 1.378290
Epoch 18 | Batch 10/100 | Loss 1.487156
Epoch 18 | Batch 20/100 | Loss 1.512535
Epoch 18 | Batch 30/100 | Loss 1.510692
Epoch 18 | Batch 40/100 | Loss 1.533762
Epoch 18 | Batch 50/100 | Loss 1.534174
Epoch 18 | Batch 60/100 | Loss 1.535390
Epoch 18 | Batch 70/100 | Loss 1.531504
Epoch 18 | Batch 80/100 | Loss 1.532930
Epoch 18 | Batch 90/100 | Loss 1.534497
Epoch 19 | Batch 0/100 | Loss 1.546200
Epoch 19 | Batch 10/100 | Loss 1.539897
Epoch 19 | Batch 20/100 | Loss 1.545053
Epoch 19 | Batch 30/100 | Loss 1.550901
Epoch 19 | Batch 40/100 | Loss 1.542409
Epoch 19 | Batch 50/100 | Loss 1.536585
Epoch 19 | Batch 60/100 | Loss 1.536977
Epoch 19 | Batch 70/100 | Loss 1.539110
Epoch 19 | Batch 80/100 | Loss 1.541098
Epoch 19 | Batch 90/100 | Loss 1.543896
Epoch 20 | Batch 0/100 | Loss 1.686142
Epoch 20 | Batch 10/100 | Loss 1.541349
Epoch 20 | Batch 20/100 | Loss 1.542351
Epoch 20 | Batch 30/100 | Loss 1.551154
Epoch 20 | Batch 40/100 | Loss 1.554343
Epoch 20 | Batch 50/100 | Loss 1.548177
Epoch 20 | Batch 60/100 | Loss 1.550414
Epoch 20 | Batch 70/100 | Loss 1.552638
Epoch 20 | Batch 80/100 | Loss 1.554111
Epoch 20 | Batch 90/100 | Loss 1.551866
One iteration : 5.485816717147827s
100 Test Acc = 32.65% +- 1.84%
--> Best model! save...
Epoch 21 | Batch 0/100 | Loss 1.613648
Epoch 21 | Batch 10/100 | Loss 1.542735
Epoch 21 | Batch 20/100 | Loss 1.531334
Epoch 21 | Batch 30/100 | Loss 1.517822
Epoch 21 | Batch 40/100 | Loss 1.546331
Epoch 21 | Batch 50/100 | Loss 1.549139
Epoch 21 | Batch 60/100 | Loss 1.547332
Epoch 21 | Batch 70/100 | Loss 1.548785
Epoch 21 | Batch 80/100 | Loss 1.552139
Epoch 21 | Batch 90/100 | Loss 1.551062
Epoch 22 | Batch 0/100 | Loss 1.495949
Epoch 22 | Batch 10/100 | Loss 1.584798
Epoch 22 | Batch 20/100 | Loss 1.557738
Epoch 22 | Batch 30/100 | Loss 1.538169
Epoch 22 | Batch 40/100 | Loss 1.536875
Epoch 22 | Batch 50/100 | Loss 1.534386
Epoch 22 | Batch 60/100 | Loss 1.538399
Epoch 22 | Batch 70/100 | Loss 1.540022
Epoch 22 | Batch 80/100 | Loss 1.539840
Epoch 22 | Batch 90/100 | Loss 1.536946
Epoch 23 | Batch 0/100 | Loss 1.648963
Epoch 23 | Batch 10/100 | Loss 1.586495
Epoch 23 | Batch 20/100 | Loss 1.549661
Epoch 23 | Batch 30/100 | Loss 1.538835
Epoch 23 | Batch 40/100 | Loss 1.543821
Epoch 23 | Batch 50/100 | Loss 1.541546
Epoch 23 | Batch 60/100 | Loss 1.540575
Epoch 23 | Batch 70/100 | Loss 1.540746
Epoch 23 | Batch 80/100 | Loss 1.540003
Epoch 23 | Batch 90/100 | Loss 1.549616
Epoch 24 | Batch 0/100 | Loss 1.545460
Epoch 24 | Batch 10/100 | Loss 1.500512
Epoch 24 | Batch 20/100 | Loss 1.526833
Epoch 24 | Batch 30/100 | Loss 1.529372
Epoch 24 | Batch 40/100 | Loss 1.525746
Epoch 24 | Batch 50/100 | Loss 1.526334
Epoch 24 | Batch 60/100 | Loss 1.521630
Epoch 24 | Batch 70/100 | Loss 1.518231
Epoch 24 | Batch 80/100 | Loss 1.523097
Epoch 24 | Batch 90/100 | Loss 1.524601
Epoch 25 | Batch 0/100 | Loss 1.577103
Epoch 25 | Batch 10/100 | Loss 1.480388
Epoch 25 | Batch 20/100 | Loss 1.511588
Epoch 25 | Batch 30/100 | Loss 1.528082
Epoch 25 | Batch 40/100 | Loss 1.546708
Epoch 25 | Batch 50/100 | Loss 1.536910
Epoch 25 | Batch 60/100 | Loss 1.532914
Epoch 25 | Batch 70/100 | Loss 1.527336
Epoch 25 | Batch 80/100 | Loss 1.526136
Epoch 25 | Batch 90/100 | Loss 1.519485
One iteration : 5.57738995552063s
100 Test Acc = 33.26% +- 1.81%
--> Best model! save...
Epoch 26 | Batch 0/100 | Loss 1.572920
Epoch 26 | Batch 10/100 | Loss 1.573591
Epoch 26 | Batch 20/100 | Loss 1.542627
Epoch 26 | Batch 30/100 | Loss 1.531846
Epoch 26 | Batch 40/100 | Loss 1.533634
Epoch 26 | Batch 50/100 | Loss 1.522540
Epoch 26 | Batch 60/100 | Loss 1.526873
Epoch 26 | Batch 70/100 | Loss 1.529080
