[WARNING] install tensorboardX to record simulation logs.
[WARNING] install tensorboardX to record simulation logs.
[WARNING] install tensorboardX to record simulation logs.
[WARNING] install tensorboardX to record simulation logs.
[WARNING] install tensorboardX to record simulation logs.
Conv4
Conv4S
Conv6
Namespace(seed=1, dataset='CUB', model='Conv4', method='maml', train_n_way=5, test_n_way=5, n_shot=1, train_aug=True, steps=2, tau=1.0, loss='ELBO', mean=0.0, kernel='bncossim', batch_size=1, diff_net=None, num_classes=200, save_freq=50, start_epoch=0, stop_epoch=-1, resume=False, warmup=False)
[INFO] Setting SEED: 1
n_query : 16
Conv4
Tot epochs: 2400
Epoch 0 | Batch 0/100 | Loss 1.698945
Epoch 0 | Batch 10/100 | Loss 1.741493
Epoch 0 | Batch 20/100 | Loss 1.761431
Epoch 0 | Batch 30/100 | Loss 1.776301
Epoch 0 | Batch 40/100 | Loss 1.768708
Epoch 0 | Batch 50/100 | Loss 1.752642
Epoch 0 | Batch 60/100 | Loss 1.740351
Epoch 0 | Batch 70/100 | Loss 1.733358
Epoch 0 | Batch 80/100 | Loss 1.723562
Epoch 0 | Batch 90/100 | Loss 1.711172
100 Test Acc = 30.69% +- 1.56%
--> Best model! save...
Epoch 1 | Batch 0/100 | Loss 1.810444
Epoch 1 | Batch 10/100 | Loss 1.696582
Epoch 1 | Batch 20/100 | Loss 1.656818
Epoch 1 | Batch 30/100 | Loss 1.666681
Epoch 1 | Batch 40/100 | Loss 1.656481
Epoch 1 | Batch 50/100 | Loss 1.650121
Epoch 1 | Batch 60/100 | Loss 1.653058
Epoch 1 | Batch 70/100 | Loss 1.653553
Epoch 1 | Batch 80/100 | Loss 1.636667
Epoch 1 | Batch 90/100 | Loss 1.635522
Epoch 2 | Batch 0/100 | Loss 1.575094
Epoch 2 | Batch 10/100 | Loss 1.646834
Epoch 2 | Batch 20/100 | Loss 1.642505
Epoch 2 | Batch 30/100 | Loss 1.639967
Epoch 2 | Batch 40/100 | Loss 1.657563
Epoch 2 | Batch 50/100 | Loss 1.641453
Epoch 2 | Batch 60/100 | Loss 1.642647
Epoch 2 | Batch 70/100 | Loss 1.641801
Epoch 2 | Batch 80/100 | Loss 1.639872
Epoch 2 | Batch 90/100 | Loss 1.633367
Epoch 3 | Batch 0/100 | Loss 1.675190
Epoch 3 | Batch 10/100 | Loss 1.653267
Epoch 3 | Batch 20/100 | Loss 1.665959
Epoch 3 | Batch 30/100 | Loss 1.635648
Epoch 3 | Batch 40/100 | Loss 1.635922
Epoch 3 | Batch 50/100 | Loss 1.620889
Epoch 3 | Batch 60/100 | Loss 1.619976
Epoch 3 | Batch 70/100 | Loss 1.624466
Epoch 3 | Batch 80/100 | Loss 1.621178
Epoch 3 | Batch 90/100 | Loss 1.616214
Epoch 4 | Batch 0/100 | Loss 1.589383
Epoch 4 | Batch 10/100 | Loss 1.574461
Epoch 4 | Batch 20/100 | Loss 1.581689
Epoch 4 | Batch 30/100 | Loss 1.583288
Epoch 4 | Batch 40/100 | Loss 1.609808
Epoch 4 | Batch 50/100 | Loss 1.602146
Epoch 4 | Batch 60/100 | Loss 1.603045
Epoch 4 | Batch 70/100 | Loss 1.609821
Epoch 4 | Batch 80/100 | Loss 1.615369
Epoch 4 | Batch 90/100 | Loss 1.615332
Epoch 5 | Batch 0/100 | Loss 1.528492
Epoch 5 | Batch 10/100 | Loss 1.601735
Epoch 5 | Batch 20/100 | Loss 1.609390
Epoch 5 | Batch 30/100 | Loss 1.606069
Epoch 5 | Batch 40/100 | Loss 1.602179
Epoch 5 | Batch 50/100 | Loss 1.598511
Epoch 5 | Batch 60/100 | Loss 1.603800
Epoch 5 | Batch 70/100 | Loss 1.595592
Epoch 5 | Batch 80/100 | Loss 1.593712
Epoch 5 | Batch 90/100 | Loss 1.590988
100 Test Acc = 34.24% +- 1.42%
--> Best model! save...
Epoch 6 | Batch 0/100 | Loss 1.833300
Epoch 6 | Batch 10/100 | Loss 1.566469
Epoch 6 | Batch 20/100 | Loss 1.593548
Epoch 6 | Batch 30/100 | Loss 1.587182
Epoch 6 | Batch 40/100 | Loss 1.583977
Epoch 6 | Batch 50/100 | Loss 1.578950
Epoch 6 | Batch 60/100 | Loss 1.589800
Epoch 6 | Batch 70/100 | Loss 1.590535
Epoch 6 | Batch 80/100 | Loss 1.595343
Epoch 6 | Batch 90/100 | Loss 1.590947
Epoch 7 | Batch 0/100 | Loss 1.600316
Epoch 7 | Batch 10/100 | Loss 1.587355
Epoch 7 | Batch 20/100 | Loss 1.592463
Epoch 7 | Batch 30/100 | Loss 1.583461
Epoch 7 | Batch 40/100 | Loss 1.584324
Epoch 7 | Batch 50/100 | Loss 1.588567
Epoch 7 | Batch 60/100 | Loss 1.594271
Epoch 7 | Batch 70/100 | Loss 1.587963
Epoch 7 | Batch 80/100 | Loss 1.589627
Epoch 7 | Batch 90/100 | Loss 1.587811
Epoch 8 | Batch 0/100 | Loss 1.646515
Epoch 8 | Batch 10/100 | Loss 1.573923
Epoch 8 | Batch 20/100 | Loss 1.569801
Epoch 8 | Batch 30/100 | Loss 1.572437
Epoch 8 | Batch 40/100 | Loss 1.570864
Epoch 8 | Batch 50/100 | Loss 1.575012
Epoch 8 | Batch 60/100 | Loss 1.574427
Epoch 8 | Batch 70/100 | Loss 1.572930
Epoch 8 | Batch 80/100 | Loss 1.570376
Epoch 8 | Batch 90/100 | Loss 1.565806
Epoch 9 | Batch 0/100 | Loss 1.507825
Epoch 9 | Batch 10/100 | Loss 1.581184
Epoch 9 | Batch 20/100 | Loss 1.550691
Epoch 9 | Batch 30/100 | Loss 1.543540
Epoch 9 | Batch 40/100 | Loss 1.558717
Epoch 9 | Batch 50/100 | Loss 1.557557
Epoch 9 | Batch 60/100 | Loss 1.555207
Epoch 9 | Batch 70/100 | Loss 1.556183
Epoch 9 | Batch 80/100 | Loss 1.549542
Epoch 9 | Batch 90/100 | Loss 1.550456
Epoch 10 | Batch 0/100 | Loss 1.585020
Epoch 10 | Batch 10/100 | Loss 1.571994
Epoch 10 | Batch 20/100 | Loss 1.576444
Epoch 10 | Batch 30/100 | Loss 1.580413
Epoch 10 | Batch 40/100 | Loss 1.577369
Epoch 10 | Batch 50/100 | Loss 1.568138
Epoch 10 | Batch 60/100 | Loss 1.566235
Epoch 10 | Batch 70/100 | Loss 1.573000
Epoch 10 | Batch 80/100 | Loss 1.565236
Epoch 10 | Batch 90/100 | Loss 1.566569
100 Test Acc = 35.64% +- 1.75%
--> Best model! save...
Epoch 11 | Batch 0/100 | Loss 1.380580
Epoch 11 | Batch 10/100 | Loss 1.486104
Epoch 11 | Batch 20/100 | Loss 1.521717
Epoch 11 | Batch 30/100 | Loss 1.539097
Epoch 11 | Batch 40/100 | Loss 1.547010
Epoch 11 | Batch 50/100 | Loss 1.533663
Epoch 11 | Batch 60/100 | Loss 1.524215
Epoch 11 | Batch 70/100 | Loss 1.534534
Epoch 11 | Batch 80/100 | Loss 1.542147
Epoch 11 | Batch 90/100 | Loss 1.554921
Epoch 12 | Batch 0/100 | Loss 1.632999
Epoch 12 | Batch 10/100 | Loss 1.606796
Epoch 12 | Batch 20/100 | Loss 1.586980
Epoch 12 | Batch 30/100 | Loss 1.590180
Epoch 12 | Batch 40/100 | Loss 1.585876
Epoch 12 | Batch 50/100 | Loss 1.579933
Epoch 12 | Batch 60/100 | Loss 1.570370
Epoch 12 | Batch 70/100 | Loss 1.572037
Epoch 12 | Batch 80/100 | Loss 1.570531
Epoch 12 | Batch 90/100 | Loss 1.566067
Epoch 13 | Batch 0/100 | Loss 1.474885
Epoch 13 | Batch 10/100 | Loss 1.512817
Epoch 13 | Batch 20/100 | Loss 1.523036
Epoch 13 | Batch 30/100 | Loss 1.544293
Epoch 13 | Batch 40/100 | Loss 1.524856
Epoch 13 | Batch 50/100 | Loss 1.529838
Epoch 13 | Batch 60/100 | Loss 1.525641
Epoch 13 | Batch 70/100 | Loss 1.534344
Epoch 13 | Batch 80/100 | Loss 1.537458
Epoch 13 | Batch 90/100 | Loss 1.536798
Epoch 14 | Batch 0/100 | Loss 1.775141
Epoch 14 | Batch 10/100 | Loss 1.568735
Epoch 14 | Batch 20/100 | Loss 1.550090
Epoch 14 | Batch 30/100 | Loss 1.549515
Epoch 14 | Batch 40/100 | Loss 1.559938
Epoch 14 | Batch 50/100 | Loss 1.561384
Epoch 14 | Batch 60/100 | Loss 1.564609
Epoch 14 | Batch 70/100 | Loss 1.559727
Epoch 14 | Batch 80/100 | Loss 1.564841
Epoch 14 | Batch 90/100 | Loss 1.561516
Epoch 15 | Batch 0/100 | Loss 1.368156
Epoch 15 | Batch 10/100 | Loss 1.549336
Epoch 15 | Batch 20/100 | Loss 1.528538
Epoch 15 | Batch 30/100 | Loss 1.527482
Epoch 15 | Batch 40/100 | Loss 1.537168
Epoch 15 | Batch 50/100 | Loss 1.538140
Epoch 15 | Batch 60/100 | Loss 1.542110
Epoch 15 | Batch 70/100 | Loss 1.541255
Epoch 15 | Batch 80/100 | Loss 1.543482
Epoch 15 | Batch 90/100 | Loss 1.538055
100 Test Acc = 37.60% +- 1.64%
--> Best model! save...
Epoch 16 | Batch 0/100 | Loss 1.552629
Epoch 16 | Batch 10/100 | Loss 1.540051
Epoch 16 | Batch 20/100 | Loss 1.570267
Epoch 16 | Batch 30/100 | Loss 1.559731
Epoch 16 | Batch 40/100 | Loss 1.546348
Epoch 16 | Batch 50/100 | Loss 1.540091
Epoch 16 | Batch 60/100 | Loss 1.549401
Epoch 16 | Batch 70/100 | Loss 1.547481
Epoch 16 | Batch 80/100 | Loss 1.543818
Epoch 16 | Batch 90/100 | Loss 1.539108
Epoch 17 | Batch 0/100 | Loss 1.586947
Epoch 17 | Batch 10/100 | Loss 1.516979
Epoch 17 | Batch 20/100 | Loss 1.517104
Epoch 17 | Batch 30/100 | Loss 1.539196
Epoch 17 | Batch 40/100 | Loss 1.540086
Epoch 17 | Batch 50/100 | Loss 1.552506
Epoch 17 | Batch 60/100 | Loss 1.553475
Epoch 17 | Batch 70/100 | Loss 1.552820
Epoch 17 | Batch 80/100 | Loss 1.556862
Epoch 17 | Batch 90/100 | Loss 1.556201
Epoch 18 | Batch 0/100 | Loss 1.465056
Epoch 18 | Batch 10/100 | Loss 1.521131
Epoch 18 | Batch 20/100 | Loss 1.524003
Epoch 18 | Batch 30/100 | Loss 1.527913
Epoch 18 | Batch 40/100 | Loss 1.521633
Epoch 18 | Batch 50/100 | Loss 1.527449
Epoch 18 | Batch 60/100 | Loss 1.533720
Epoch 18 | Batch 70/100 | Loss 1.531530
Epoch 18 | Batch 80/100 | Loss 1.532238
Epoch 18 | Batch 90/100 | Loss 1.529790
