[WARNING] install tensorboardX to record simulation logs.
[WARNING] install tensorboardX to record simulation logs.
[WARNING] install tensorboardX to record simulation logs.
[WARNING] install tensorboardX to record simulation logs.
[WARNING] install tensorboardX to record simulation logs.
Conv4
Conv4S
Conv6
Namespace(seed=1, dataset='CUB', model='Conv4', method='maml', train_n_way=5, test_n_way=5, n_shot=1, train_aug=True, steps=2, tau=1.0, loss='ELBO', mean=0.0, kernel='bncossim', batch_size=1, diff_net=None, num_classes=200, save_freq=50, start_epoch=0, stop_epoch=-1, resume=False, warmup=False)
[INFO] Setting SEED: 1
n_query : 16
Conv4
Inner lr : 0.01
Tot epochs: 2400
Meta-lr : 0.001
Epoch 0 | Batch 0/100 | Loss 1.594793
Epoch 0 | Batch 10/100 | Loss 1.745691
Epoch 0 | Batch 20/100 | Loss 1.728266
Epoch 0 | Batch 30/100 | Loss 1.739238
Epoch 0 | Batch 40/100 | Loss 1.740905
Epoch 0 | Batch 50/100 | Loss 1.733867
Epoch 0 | Batch 60/100 | Loss 1.715770
Epoch 0 | Batch 70/100 | Loss 1.713944
Epoch 0 | Batch 80/100 | Loss 1.702744
Epoch 0 | Batch 90/100 | Loss 1.695351
One iteration : 11.278243780136108s
100 Test Acc = 31.56% +- 1.53%
--> Best model! save...
Epoch 1 | Batch 0/100 | Loss 1.826036
Epoch 1 | Batch 10/100 | Loss 1.678594
Epoch 1 | Batch 20/100 | Loss 1.653895
Epoch 1 | Batch 30/100 | Loss 1.655662
Epoch 1 | Batch 40/100 | Loss 1.653012
Epoch 1 | Batch 50/100 | Loss 1.650137
Epoch 1 | Batch 60/100 | Loss 1.656799
Epoch 1 | Batch 70/100 | Loss 1.657610
Epoch 1 | Batch 80/100 | Loss 1.641190
Epoch 1 | Batch 90/100 | Loss 1.639281
Epoch 2 | Batch 0/100 | Loss 1.641009
Epoch 2 | Batch 10/100 | Loss 1.670125
Epoch 2 | Batch 20/100 | Loss 1.671338
Epoch 2 | Batch 30/100 | Loss 1.646321
Epoch 2 | Batch 40/100 | Loss 1.653236
Epoch 2 | Batch 50/100 | Loss 1.637240
Epoch 2 | Batch 60/100 | Loss 1.644880
Epoch 2 | Batch 70/100 | Loss 1.644116
Epoch 2 | Batch 80/100 | Loss 1.642095
Epoch 2 | Batch 90/100 | Loss 1.637187
Epoch 3 | Batch 0/100 | Loss 1.657847
Epoch 3 | Batch 10/100 | Loss 1.642080
Epoch 3 | Batch 20/100 | Loss 1.663202
Epoch 3 | Batch 30/100 | Loss 1.629984
Epoch 3 | Batch 40/100 | Loss 1.635801
Epoch 3 | Batch 50/100 | Loss 1.616849
Epoch 3 | Batch 60/100 | Loss 1.616949
Epoch 3 | Batch 70/100 | Loss 1.617887
Epoch 3 | Batch 80/100 | Loss 1.616572
Epoch 3 | Batch 90/100 | Loss 1.614278
Epoch 4 | Batch 0/100 | Loss 1.558600
Epoch 4 | Batch 10/100 | Loss 1.626450
Epoch 4 | Batch 20/100 | Loss 1.604727
Epoch 4 | Batch 30/100 | Loss 1.603995
Epoch 4 | Batch 40/100 | Loss 1.626028
Epoch 4 | Batch 50/100 | Loss 1.613663
Epoch 4 | Batch 60/100 | Loss 1.611522
Epoch 4 | Batch 70/100 | Loss 1.615110
Epoch 4 | Batch 80/100 | Loss 1.617188
Epoch 4 | Batch 90/100 | Loss 1.615831
Epoch 5 | Batch 0/100 | Loss 1.565480
Epoch 5 | Batch 10/100 | Loss 1.637960
Epoch 5 | Batch 20/100 | Loss 1.610036
Epoch 5 | Batch 30/100 | Loss 1.605445
Epoch 5 | Batch 40/100 | Loss 1.602455
Epoch 5 | Batch 50/100 | Loss 1.607983
Epoch 5 | Batch 60/100 | Loss 1.619549
Epoch 5 | Batch 70/100 | Loss 1.608783
Epoch 5 | Batch 80/100 | Loss 1.609624
Epoch 5 | Batch 90/100 | Loss 1.601171
One iteration : 3.821096658706665s
100 Test Acc = 33.44% +- 1.50%
--> Best model! save...
Epoch 6 | Batch 0/100 | Loss 1.755163
Epoch 6 | Batch 10/100 | Loss 1.564195
Epoch 6 | Batch 20/100 | Loss 1.589310
Epoch 6 | Batch 30/100 | Loss 1.578528
Epoch 6 | Batch 40/100 | Loss 1.576861
Epoch 6 | Batch 50/100 | Loss 1.570111
Epoch 6 | Batch 60/100 | Loss 1.578321
Epoch 6 | Batch 70/100 | Loss 1.580774
Epoch 6 | Batch 80/100 | Loss 1.583706
Epoch 6 | Batch 90/100 | Loss 1.580608
Epoch 7 | Batch 0/100 | Loss 1.602245
Epoch 7 | Batch 10/100 | Loss 1.606186
Epoch 7 | Batch 20/100 | Loss 1.590316
Epoch 7 | Batch 30/100 | Loss 1.577276
Epoch 7 | Batch 40/100 | Loss 1.579164
Epoch 7 | Batch 50/100 | Loss 1.586566
Epoch 7 | Batch 60/100 | Loss 1.587768
Epoch 7 | Batch 70/100 | Loss 1.586128
Epoch 7 | Batch 80/100 | Loss 1.587791
Epoch 7 | Batch 90/100 | Loss 1.584532
Epoch 8 | Batch 0/100 | Loss 1.644502
Epoch 8 | Batch 10/100 | Loss 1.559624
Epoch 8 | Batch 20/100 | Loss 1.571077
Epoch 8 | Batch 30/100 | Loss 1.567518
Epoch 8 | Batch 40/100 | Loss 1.568550
Epoch 8 | Batch 50/100 | Loss 1.570253
Epoch 8 | Batch 60/100 | Loss 1.564969
Epoch 8 | Batch 70/100 | Loss 1.564630
Epoch 8 | Batch 80/100 | Loss 1.561835
Epoch 8 | Batch 90/100 | Loss 1.559410
Epoch 9 | Batch 0/100 | Loss 1.508146
Epoch 9 | Batch 10/100 | Loss 1.608647
Epoch 9 | Batch 20/100 | Loss 1.558512
Epoch 9 | Batch 30/100 | Loss 1.551040
Epoch 9 | Batch 40/100 | Loss 1.559743
Epoch 9 | Batch 50/100 | Loss 1.552916
Epoch 9 | Batch 60/100 | Loss 1.551826
Epoch 9 | Batch 70/100 | Loss 1.555410
Epoch 9 | Batch 80/100 | Loss 1.552994
Epoch 9 | Batch 90/100 | Loss 1.551342
Epoch 10 | Batch 0/100 | Loss 1.629813
Epoch 10 | Batch 10/100 | Loss 1.584540
Epoch 10 | Batch 20/100 | Loss 1.592220
Epoch 10 | Batch 30/100 | Loss 1.581509
Epoch 10 | Batch 40/100 | Loss 1.576563
Epoch 10 | Batch 50/100 | Loss 1.573044
Epoch 10 | Batch 60/100 | Loss 1.567936
Epoch 10 | Batch 70/100 | Loss 1.575294
Epoch 10 | Batch 80/100 | Loss 1.569582
Epoch 10 | Batch 90/100 | Loss 1.571581
One iteration : 3.9934115409851074s
100 Test Acc = 35.16% +- 1.58%
--> Best model! save...
Epoch 11 | Batch 0/100 | Loss 1.407866
Epoch 11 | Batch 10/100 | Loss 1.495211
Epoch 11 | Batch 20/100 | Loss 1.512368
Epoch 11 | Batch 30/100 | Loss 1.536497
Epoch 11 | Batch 40/100 | Loss 1.552120
Epoch 11 | Batch 50/100 | Loss 1.543250
Epoch 11 | Batch 60/100 | Loss 1.533940
Epoch 11 | Batch 70/100 | Loss 1.543508
Epoch 11 | Batch 80/100 | Loss 1.546896
Epoch 11 | Batch 90/100 | Loss 1.554514
Epoch 12 | Batch 0/100 | Loss 1.571705
Epoch 12 | Batch 10/100 | Loss 1.596903
Epoch 12 | Batch 20/100 | Loss 1.589916
Epoch 12 | Batch 30/100 | Loss 1.586437
Epoch 12 | Batch 40/100 | Loss 1.583131
Epoch 12 | Batch 50/100 | Loss 1.579015
Epoch 12 | Batch 60/100 | Loss 1.577479
Epoch 12 | Batch 70/100 | Loss 1.573746
Epoch 12 | Batch 80/100 | Loss 1.570823
Epoch 12 | Batch 90/100 | Loss 1.563440
Epoch 13 | Batch 0/100 | Loss 1.548272
Epoch 13 | Batch 10/100 | Loss 1.523923
Epoch 13 | Batch 20/100 | Loss 1.539764
Epoch 13 | Batch 30/100 | Loss 1.555251
Epoch 13 | Batch 40/100 | Loss 1.542213
Epoch 13 | Batch 50/100 | Loss 1.542930
Epoch 13 | Batch 60/100 | Loss 1.536680
Epoch 13 | Batch 70/100 | Loss 1.543441
Epoch 13 | Batch 80/100 | Loss 1.543914
Epoch 13 | Batch 90/100 | Loss 1.545495
Epoch 14 | Batch 0/100 | Loss 1.701708
Epoch 14 | Batch 10/100 | Loss 1.558642
Epoch 14 | Batch 20/100 | Loss 1.555207
Epoch 14 | Batch 30/100 | Loss 1.540458
Epoch 14 | Batch 40/100 | Loss 1.550164
Epoch 14 | Batch 50/100 | Loss 1.549083
Epoch 14 | Batch 60/100 | Loss 1.556428
Epoch 14 | Batch 70/100 | Loss 1.551729
Epoch 14 | Batch 80/100 | Loss 1.556663
Epoch 14 | Batch 90/100 | Loss 1.556150
Epoch 15 | Batch 0/100 | Loss 1.392727
Epoch 15 | Batch 10/100 | Loss 1.538236
Epoch 15 | Batch 20/100 | Loss 1.522413
Epoch 15 | Batch 30/100 | Loss 1.528510
Epoch 15 | Batch 40/100 | Loss 1.545272
Epoch 15 | Batch 50/100 | Loss 1.546836
Epoch 15 | Batch 60/100 | Loss 1.553739
Epoch 15 | Batch 70/100 | Loss 1.551289
Epoch 15 | Batch 80/100 | Loss 1.548541
Epoch 15 | Batch 90/100 | Loss 1.543380
One iteration : 3.7223944664001465s
100 Test Acc = 37.29% +- 1.85%
--> Best model! save...
Epoch 16 | Batch 0/100 | Loss 1.505796
Epoch 16 | Batch 10/100 | Loss 1.528310
Epoch 16 | Batch 20/100 | Loss 1.568614
Epoch 16 | Batch 30/100 | Loss 1.551575
Epoch 16 | Batch 40/100 | Loss 1.549025
Epoch 16 | Batch 50/100 | Loss 1.538585
Epoch 16 | Batch 60/100 | Loss 1.547464
Epoch 16 | Batch 70/100 | Loss 1.545265
Epoch 16 | Batch 80/100 | Loss 1.543852
Epoch 16 | Batch 90/100 | Loss 1.539795
Epoch 17 | Batch 0/100 | Loss 1.560460
Epoch 17 | Batch 10/100 | Loss 1.532577
Epoch 17 | Batch 20/100 | Loss 1.519454
Epoch 17 | Batch 30/100 | Loss 1.533118
Epoch 17 | Batch 40/100 | Loss 1.535201
Epoch 17 | Batch 50/100 | Loss 1.546942
Epoch 17 | Batch 60/100 | Loss 1.551551
Epoch 17 | Batch 70/100 | Loss 1.550964
Epoch 17 | Batch 80/100 | Loss 1.549865
Epoch 17 | Batch 90/100 | Loss 1.548806
Epoch 18 | Batch 0/100 | Loss 1.431731
Epoch 18 | Batch 10/100 | Loss 1.522237
Epoch 18 | Batch 20/100 | Loss 1.527639
Epoch 18 | Batch 30/100 | Loss 1.533529
Epoch 18 | Batch 40/100 | Loss 1.526669
Epoch 18 | Batch 50/100 | Loss 1.540546
Epoch 18 | Batch 60/100 | Loss 1.549261
Epoch 18 | Batch 70/100 | Loss 1.549277
Epoch 18 | Batch 80/100 | Loss 1.547465
Epoch 18 | Batch 90/100 | Loss 1.545665
Epoch 19 | Batch 0/100 | Loss 1.733640
Epoch 19 | Batch 10/100 | Loss 1.518697
Epoch 19 | Batch 20/100 | Loss 1.497210
Epoch 19 | Batch 30/100 | Loss 1.527936
Epoch 19 | Batch 40/100 | Loss 1.519484
Epoch 19 | Batch 50/100 | Loss 1.514825
Epoch 19 | Batch 60/100 | Loss 1.516147
Epoch 19 | Batch 70/100 | Loss 1.525659
Epoch 19 | Batch 80/100 | Loss 1.529956
Epoch 19 | Batch 90/100 | Loss 1.534804
Epoch 20 | Batch 0/100 | Loss 1.563925
Epoch 20 | Batch 10/100 | Loss 1.593143
Epoch 20 | Batch 20/100 | Loss 1.578685
Epoch 20 | Batch 30/100 | Loss 1.547842
Epoch 20 | Batch 40/100 | Loss 1.539598
Epoch 20 | Batch 50/100 | Loss 1.528290
