[WARNING] install tensorboardX to record simulation logs.
[WARNING] install tensorboardX to record simulation logs.
[WARNING] install tensorboardX to record simulation logs.
[WARNING] install tensorboardX to record simulation logs.
[WARNING] install tensorboardX to record simulation logs.
Conv4
Conv4S
Conv6
Namespace(seed=1, dataset='CUB', model='ResNet34', method='maml', train_n_way=5, test_n_way=5, n_shot=1, train_aug=True, steps=2, tau=1.0, loss='ELBO', mean=0.0, kernel='bncossim', batch_size=1, diff_net=None, num_classes=200, save_freq=50, start_epoch=0, stop_epoch=-1, resume=False, warmup=False)
[INFO] Setting SEED: 1
n_query : 16
Inner lr : 0.01
Tot epochs: 2400
Meta-lr : 0.0001
Epoch 0 | Batch 0/100 | Loss 1.702893
Epoch 0 | Batch 10/100 | Loss 1.849814
Epoch 0 | Batch 20/100 | Loss 1.863205
Epoch 0 | Batch 30/100 | Loss 1.867428
Epoch 0 | Batch 40/100 | Loss 1.867370
Epoch 0 | Batch 50/100 | Loss 1.858600
Epoch 0 | Batch 60/100 | Loss 1.858405
Epoch 0 | Batch 70/100 | Loss 1.849690
Epoch 0 | Batch 80/100 | Loss 1.860976
Epoch 0 | Batch 90/100 | Loss 1.866549
One iteration : 13.018147468566895s
100 Test Acc = 22.68% +- 1.04%
--> Best model! save...
Epoch 1 | Batch 0/100 | Loss 2.051939
Epoch 1 | Batch 10/100 | Loss 1.913299
Epoch 1 | Batch 20/100 | Loss 1.950990
Epoch 1 | Batch 30/100 | Loss 1.946059
Epoch 1 | Batch 40/100 | Loss 1.941096
Epoch 1 | Batch 50/100 | Loss 1.934008
Epoch 1 | Batch 60/100 | Loss 1.940043
Epoch 1 | Batch 70/100 | Loss 1.940113
Epoch 1 | Batch 80/100 | Loss 1.946447
Epoch 1 | Batch 90/100 | Loss 1.941977
Epoch 2 | Batch 0/100 | Loss 1.837698
Epoch 2 | Batch 10/100 | Loss 1.971165
Epoch 2 | Batch 20/100 | Loss 1.958646
Epoch 2 | Batch 30/100 | Loss 1.973431
Epoch 2 | Batch 40/100 | Loss 1.970034
Epoch 2 | Batch 50/100 | Loss 1.952159
Epoch 2 | Batch 60/100 | Loss 1.960593
Epoch 2 | Batch 70/100 | Loss 1.953959
Epoch 2 | Batch 80/100 | Loss 1.958349
Epoch 2 | Batch 90/100 | Loss 1.958072
Epoch 3 | Batch 0/100 | Loss 1.840062
Epoch 3 | Batch 10/100 | Loss 1.982579
Epoch 3 | Batch 20/100 | Loss 1.961689
Epoch 3 | Batch 30/100 | Loss 1.985815
Epoch 3 | Batch 40/100 | Loss 1.967545
Epoch 3 | Batch 50/100 | Loss 1.965385
Epoch 3 | Batch 60/100 | Loss 1.969146
Epoch 3 | Batch 70/100 | Loss 1.973804
Epoch 3 | Batch 80/100 | Loss 1.971178
Epoch 3 | Batch 90/100 | Loss 1.969666
Epoch 4 | Batch 0/100 | Loss 2.152066
Epoch 4 | Batch 10/100 | Loss 1.979350
Epoch 4 | Batch 20/100 | Loss 1.992818
Epoch 4 | Batch 30/100 | Loss 1.994656
Epoch 4 | Batch 40/100 | Loss 2.001051
Epoch 4 | Batch 50/100 | Loss 1.999839
Epoch 4 | Batch 60/100 | Loss 2.008962
Epoch 4 | Batch 70/100 | Loss 2.012478
Epoch 4 | Batch 80/100 | Loss 2.022980
Epoch 4 | Batch 90/100 | Loss 2.021880
