[WARNING] install tensorboardX to record simulation logs.
[WARNING] install tensorboardX to record simulation logs.
[WARNING] install tensorboardX to record simulation logs.
[WARNING] install tensorboardX to record simulation logs.
[WARNING] install tensorboardX to record simulation logs.
Conv4
Conv4S
Conv6
Namespace(seed=1, dataset='CUB', model='ResNet34', method='maml', train_n_way=5, test_n_way=5, n_shot=1, train_aug=True, steps=2, tau=1.0, loss='ELBO', mean=0.0, kernel='bncossim', batch_size=1, diff_net=None, num_classes=200, save_freq=50, start_epoch=0, stop_epoch=-1, resume=False, warmup=False)
[INFO] Setting SEED: 1
n_query : 16
Tot epochs: 2400
Epoch 0 | Batch 0/100 | Loss 1.882129
Epoch 0 | Batch 10/100 | Loss 1.940792
Epoch 0 | Batch 20/100 | Loss 2.005780
Epoch 0 | Batch 30/100 | Loss 2.123934
Epoch 0 | Batch 40/100 | Loss 2.191405
Epoch 0 | Batch 50/100 | Loss 2.225618
Epoch 0 | Batch 60/100 | Loss 2.289139
Epoch 0 | Batch 70/100 | Loss 2.307653
Epoch 0 | Batch 80/100 | Loss 2.308564
Epoch 0 | Batch 90/100 | Loss 2.339869
One iteration : 14.828577518463135s
100 Test Acc = 23.32% +- 1.06%
--> Best model! save...
Epoch 1 | Batch 0/100 | Loss 2.224495
Epoch 1 | Batch 10/100 | Loss 2.613039
Epoch 1 | Batch 20/100 | Loss 2.564503
Epoch 1 | Batch 30/100 | Loss 2.553736
Epoch 1 | Batch 40/100 | Loss 2.575832
Epoch 1 | Batch 50/100 | Loss 2.599528
Epoch 1 | Batch 60/100 | Loss 2.610427
Epoch 1 | Batch 70/100 | Loss 2.575590
Epoch 1 | Batch 80/100 | Loss 2.570931
Epoch 1 | Batch 90/100 | Loss 2.546964
Epoch 2 | Batch 0/100 | Loss 2.426642
Epoch 2 | Batch 10/100 | Loss 2.802665
Epoch 2 | Batch 20/100 | Loss 2.828494
Epoch 2 | Batch 30/100 | Loss 2.727956
Epoch 2 | Batch 40/100 | Loss 2.743502
Epoch 2 | Batch 50/100 | Loss 2.708165
Epoch 2 | Batch 60/100 | Loss 2.681791
Epoch 2 | Batch 70/100 | Loss 2.692855
Epoch 2 | Batch 80/100 | Loss 2.677460
Epoch 2 | Batch 90/100 | Loss 2.650370
Epoch 3 | Batch 0/100 | Loss 2.396740
Epoch 3 | Batch 10/100 | Loss 2.517153
Epoch 3 | Batch 20/100 | Loss 2.615217
Epoch 3 | Batch 30/100 | Loss 2.571562
Epoch 3 | Batch 40/100 | Loss 2.588026
Epoch 3 | Batch 50/100 | Loss 2.609761
Epoch 3 | Batch 60/100 | Loss 2.610693
Epoch 3 | Batch 70/100 | Loss 2.619919
Epoch 3 | Batch 80/100 | Loss 2.578261
Epoch 3 | Batch 90/100 | Loss 2.577425
Epoch 4 | Batch 0/100 | Loss 3.346270
Epoch 4 | Batch 10/100 | Loss 2.477740
Epoch 4 | Batch 20/100 | Loss 2.597449
Epoch 4 | Batch 30/100 | Loss 2.588533
Epoch 4 | Batch 40/100 | Loss 2.607067
Epoch 4 | Batch 50/100 | Loss 2.615934
Epoch 4 | Batch 60/100 | Loss 2.575271
Epoch 4 | Batch 70/100 | Loss 2.596130
Epoch 4 | Batch 80/100 | Loss 2.604609
Epoch 4 | Batch 90/100 | Loss 2.611106
Epoch 5 | Batch 0/100 | Loss 1.824639
Epoch 5 | Batch 10/100 | Loss 2.353749
Epoch 5 | Batch 20/100 | Loss 2.363586
Epoch 5 | Batch 30/100 | Loss 2.433475
Epoch 5 | Batch 40/100 | Loss 2.435867
Epoch 5 | Batch 50/100 | Loss 2.464150
Epoch 5 | Batch 60/100 | Loss 2.456884
Epoch 5 | Batch 70/100 | Loss 2.449886
Epoch 5 | Batch 80/100 | Loss 2.482833
Epoch 5 | Batch 90/100 | Loss 2.499897
One iteration : 12.117025136947632s
100 Test Acc = 23.40% +- 1.12%
--> Best model! save...
Epoch 6 | Batch 0/100 | Loss 2.206028
Epoch 6 | Batch 10/100 | Loss 2.419752
Epoch 6 | Batch 20/100 | Loss 2.409331
Epoch 6 | Batch 30/100 | Loss 2.480900
Epoch 6 | Batch 40/100 | Loss 2.442997
Epoch 6 | Batch 50/100 | Loss 2.435379
Epoch 6 | Batch 60/100 | Loss 2.430117
Epoch 6 | Batch 70/100 | Loss 2.407339
Epoch 6 | Batch 80/100 | Loss 2.404969
Epoch 6 | Batch 90/100 | Loss 2.412674
Epoch 7 | Batch 0/100 | Loss 2.490916
Epoch 7 | Batch 10/100 | Loss 2.577388
Epoch 7 | Batch 20/100 | Loss 2.479560
Epoch 7 | Batch 30/100 | Loss 2.439060
Epoch 7 | Batch 40/100 | Loss 2.431822
Epoch 7 | Batch 50/100 | Loss 2.453535
Epoch 7 | Batch 60/100 | Loss 2.467599
Epoch 7 | Batch 70/100 | Loss 2.454324
Epoch 7 | Batch 80/100 | Loss 2.460866
Epoch 7 | Batch 90/100 | Loss 2.446973
Epoch 8 | Batch 0/100 | Loss 2.020141
Epoch 8 | Batch 10/100 | Loss 2.335408
Epoch 8 | Batch 20/100 | Loss 2.249009
Epoch 8 | Batch 30/100 | Loss 2.329835
Epoch 8 | Batch 40/100 | Loss 2.403422
Epoch 8 | Batch 50/100 | Loss 2.405519
Epoch 8 | Batch 60/100 | Loss 2.387483
Epoch 8 | Batch 70/100 | Loss 2.391616
Epoch 8 | Batch 80/100 | Loss 2.354410
Epoch 8 | Batch 90/100 | Loss 2.342463
Epoch 9 | Batch 0/100 | Loss 2.322768
Epoch 9 | Batch 10/100 | Loss 2.313267
Epoch 9 | Batch 20/100 | Loss 2.336232
Epoch 9 | Batch 30/100 | Loss 2.313994
Epoch 9 | Batch 40/100 | Loss 2.313440
Epoch 9 | Batch 50/100 | Loss 2.313203
Epoch 9 | Batch 60/100 | Loss 2.310140
Epoch 9 | Batch 70/100 | Loss 2.308919
Epoch 9 | Batch 80/100 | Loss 2.296208
Epoch 9 | Batch 90/100 | Loss 2.285241
Epoch 10 | Batch 0/100 | Loss 2.557552
Epoch 10 | Batch 10/100 | Loss 2.255368
Epoch 10 | Batch 20/100 | Loss 2.375978
Epoch 10 | Batch 30/100 | Loss 2.353931
Epoch 10 | Batch 40/100 | Loss 2.380793
Epoch 10 | Batch 50/100 | Loss 2.336417
Epoch 10 | Batch 60/100 | Loss 2.301318
Epoch 10 | Batch 70/100 | Loss 2.297903
Epoch 10 | Batch 80/100 | Loss 2.290208
Epoch 10 | Batch 90/100 | Loss 2.300853
One iteration : 12.78666353225708s
100 Test Acc = 23.02% +- 1.12%
Epoch 11 | Batch 0/100 | Loss 2.162067
Epoch 11 | Batch 10/100 | Loss 2.246842
Epoch 11 | Batch 20/100 | Loss 2.162719
Epoch 11 | Batch 30/100 | Loss 2.213661
Epoch 11 | Batch 40/100 | Loss 2.231371
Epoch 11 | Batch 50/100 | Loss 2.249110
Epoch 11 | Batch 60/100 | Loss 2.225948
Epoch 11 | Batch 70/100 | Loss 2.236368
Epoch 11 | Batch 80/100 | Loss 2.237306
Epoch 11 | Batch 90/100 | Loss 2.226846
Epoch 12 | Batch 0/100 | Loss 1.969739
Epoch 12 | Batch 10/100 | Loss 2.229423
Epoch 12 | Batch 20/100 | Loss 2.243800
Epoch 12 | Batch 30/100 | Loss 2.226619
Epoch 12 | Batch 40/100 | Loss 2.246638
Epoch 12 | Batch 50/100 | Loss 2.249473
Epoch 12 | Batch 60/100 | Loss 2.208558
Epoch 12 | Batch 70/100 | Loss 2.206070
Epoch 12 | Batch 80/100 | Loss 2.192780
Epoch 12 | Batch 90/100 | Loss 2.181673
Epoch 13 | Batch 0/100 | Loss 2.249628
Epoch 13 | Batch 10/100 | Loss 2.179923
Epoch 13 | Batch 20/100 | Loss 2.149910
Epoch 13 | Batch 30/100 | Loss 2.145692
Epoch 13 | Batch 40/100 | Loss 2.159046
Epoch 13 | Batch 50/100 | Loss 2.171861
Epoch 13 | Batch 60/100 | Loss 2.178406
Epoch 13 | Batch 70/100 | Loss 2.173439
Epoch 13 | Batch 80/100 | Loss 2.187653
Epoch 13 | Batch 90/100 | Loss 2.175361
Epoch 14 | Batch 0/100 | Loss 2.347486
Epoch 14 | Batch 10/100 | Loss 2.165045
Epoch 14 | Batch 20/100 | Loss 2.193016
Epoch 14 | Batch 30/100 | Loss 2.186487
Epoch 14 | Batch 40/100 | Loss 2.147608
Epoch 14 | Batch 50/100 | Loss 2.168700
Epoch 14 | Batch 60/100 | Loss 2.162671
Epoch 14 | Batch 70/100 | Loss 2.158381
Epoch 14 | Batch 80/100 | Loss 2.150162
Epoch 14 | Batch 90/100 | Loss 2.151642
Epoch 15 | Batch 0/100 | Loss 2.023423
Epoch 15 | Batch 10/100 | Loss 2.062395
Epoch 15 | Batch 20/100 | Loss 2.104988
Epoch 15 | Batch 30/100 | Loss 2.104564
Epoch 15 | Batch 40/100 | Loss 2.124677
Epoch 15 | Batch 50/100 | Loss 2.110180
Epoch 15 | Batch 60/100 | Loss 2.112451
Epoch 15 | Batch 70/100 | Loss 2.125818
Epoch 15 | Batch 80/100 | Loss 2.126523
Epoch 15 | Batch 90/100 | Loss 2.140152
One iteration : 12.502171754837036s
100 Test Acc = 23.64% +- 1.16%
--> Best model! save...
Epoch 16 | Batch 0/100 | Loss 2.413032
Epoch 16 | Batch 10/100 | Loss 2.116323
Epoch 16 | Batch 20/100 | Loss 2.056297
Epoch 16 | Batch 30/100 | Loss 2.056393
Epoch 16 | Batch 40/100 | Loss 2.086408
Epoch 16 | Batch 50/100 | Loss 2.094677
Epoch 16 | Batch 60/100 | Loss 2.098034
Epoch 16 | Batch 70/100 | Loss 2.104784
Epoch 16 | Batch 80/100 | Loss 2.099700
Epoch 16 | Batch 90/100 | Loss 2.112424
Epoch 17 | Batch 0/100 | Loss 2.117744
Epoch 17 | Batch 10/100 | Loss 2.099316
Epoch 17 | Batch 20/100 | Loss 2.140903
Epoch 17 | Batch 30/100 | Loss 2.116272
Epoch 17 | Batch 40/100 | Loss 2.134783
Epoch 17 | Batch 50/100 | Loss 2.124550
Epoch 17 | Batch 60/100 | Loss 2.123320
Epoch 17 | Batch 70/100 | Loss 2.112435
Epoch 17 | Batch 80/100 | Loss 2.112703
Epoch 17 | Batch 90/100 | Loss 2.110402
Epoch 18 | Batch 0/100 | Loss 2.297690
Epoch 18 | Batch 10/100 | Loss 2.096836
Epoch 18 | Batch 20/100 | Loss 2.100667
Epoch 18 | Batch 30/100 | Loss 2.109257
Epoch 18 | Batch 40/100 | Loss 2.099925
Epoch 18 | Batch 50/100 | Loss 2.096945
Epoch 18 | Batch 60/100 | Loss 2.104907
Epoch 18 | Batch 70/100 | Loss 2.101255
Epoch 18 | Batch 80/100 | Loss 2.090228
Epoch 18 | Batch 90/100 | Loss 2.080261
Epoch 19 | Batch 0/100 | Loss 2.001523
Epoch 19 | Batch 10/100 | Loss 2.061172
Epoch 19 | Batch 20/100 | Loss 2.083489
Epoch 19 | Batch 30/100 | Loss 2.088624
Epoch 19 | Batch 40/100 | Loss 2.082286
Epoch 19 | Batch 50/100 | Loss 2.066888
Epoch 19 | Batch 60/100 | Loss 2.068349
Epoch 19 | Batch 70/100 | Loss 2.051207
Epoch 19 | Batch 80/100 | Loss 2.056860
Epoch 19 | Batch 90/100 | Loss 2.058237
Epoch 20 | Batch 0/100 | Loss 2.002327
Epoch 20 | Batch 10/100 | Loss 1.986498
Epoch 20 | Batch 20/100 | Loss 1.984295
Epoch 20 | Batch 30/100 | Loss 2.023005
Epoch 20 | Batch 40/100 | Loss 2.009892
Epoch 20 | Batch 50/100 | Loss 2.008816
Epoch 20 | Batch 60/100 | Loss 1.989479
Epoch 20 | Batch 70/100 | Loss 2.007527
Epoch 20 | Batch 80/100 | Loss 2.007066
Epoch 20 | Batch 90/100 | Loss 2.019501
One iteration : 12.200216293334961s
100 Test Acc = 22.95% +- 1.19%
Epoch 21 | Batch 0/100 | Loss 2.181366
Epoch 21 | Batch 10/100 | Loss 2.089203
Epoch 21 | Batch 20/100 | Loss 2.032955
Epoch 21 | Batch 30/100 | Loss 2.047642
Epoch 21 | Batch 40/100 | Loss 2.048208
Epoch 21 | Batch 50/100 | Loss 2.027632
Epoch 21 | Batch 60/100 | Loss 2.023542
Epoch 21 | Batch 70/100 | Loss 2.032261
Epoch 21 | Batch 80/100 | Loss 2.033520
Epoch 21 | Batch 90/100 | Loss 2.049069
Epoch 22 | Batch 0/100 | Loss 1.950125
Epoch 22 | Batch 10/100 | Loss 2.030898
Epoch 22 | Batch 20/100 | Loss 2.037177
Epoch 22 | Batch 30/100 | Loss 2.029284
Epoch 22 | Batch 40/100 | Loss 2.033460
Epoch 22 | Batch 50/100 | Loss 2.043805
Epoch 22 | Batch 60/100 | Loss 2.052025
Epoch 22 | Batch 70/100 | Loss 2.044065
Epoch 22 | Batch 80/100 | Loss 2.041505
Epoch 22 | Batch 90/100 | Loss 2.031897
Epoch 23 | Batch 0/100 | Loss 1.839399
Epoch 23 | Batch 10/100 | Loss 1.924367
Epoch 23 | Batch 20/100 | Loss 1.981839
