[WARNING] install tensorboardX to record simulation logs.
[WARNING] install tensorboardX to record simulation logs.
[WARNING] install tensorboardX to record simulation logs.
[WARNING] install tensorboardX to record simulation logs.
[WARNING] install tensorboardX to record simulation logs.
Conv4
Conv4S
Conv6
Namespace(seed=1, dataset='CUB', model='ResNet50', method='maml', train_n_way=5, test_n_way=5, n_shot=1, train_aug=True, steps=2, tau=1.0, loss='ELBO', mean=0.0, kernel='bncossim', batch_size=1, diff_net=None, num_classes=200, save_freq=50, start_epoch=0, stop_epoch=-1, resume=False, warmup=False)
[INFO] Setting SEED: 1
n_query : 16
Inner lr : 0.001
Tot epochs: 2400
Meta-lr : 0.0001
Epoch 0 | Batch 0/100 | Loss 1.624077
Epoch 0 | Batch 10/100 | Loss 1.705868
Epoch 0 | Batch 20/100 | Loss 1.697421
Epoch 0 | Batch 30/100 | Loss 1.699529
Epoch 0 | Batch 40/100 | Loss 1.703146
Epoch 0 | Batch 50/100 | Loss 1.710422
Epoch 0 | Batch 60/100 | Loss 1.716264
Epoch 0 | Batch 70/100 | Loss 1.720459
Epoch 0 | Batch 80/100 | Loss 1.720453
Epoch 0 | Batch 90/100 | Loss 1.724401
One iteration : 17.642656087875366s
100 Test Acc = 21.35% +- 1.00%
--> Best model! save...
Epoch 1 | Batch 0/100 | Loss 1.723730
Epoch 1 | Batch 10/100 | Loss 1.757200
Epoch 1 | Batch 20/100 | Loss 1.759472
Epoch 1 | Batch 30/100 | Loss 1.768553
Epoch 1 | Batch 40/100 | Loss 1.772991
Epoch 1 | Batch 50/100 | Loss 1.768585
Epoch 1 | Batch 60/100 | Loss 1.772308
Epoch 1 | Batch 70/100 | Loss 1.771411
Epoch 1 | Batch 80/100 | Loss 1.772796
Epoch 1 | Batch 90/100 | Loss 1.771649
Epoch 2 | Batch 0/100 | Loss 1.701975
Epoch 2 | Batch 10/100 | Loss 1.750370
Epoch 2 | Batch 20/100 | Loss 1.752045
Epoch 2 | Batch 30/100 | Loss 1.743871
Epoch 2 | Batch 40/100 | Loss 1.748639
Epoch 2 | Batch 50/100 | Loss 1.758561
Epoch 2 | Batch 60/100 | Loss 1.753349
Epoch 2 | Batch 70/100 | Loss 1.750326
